comment_text,brand,search_term,source,additional_info
"I don’t really know why people hate on LV so much what did he do that was so bad",Hermes,hate,TikTok,"{ likes: 9, date: '2022-08-03 11:30:41'}"
"I love how you carefully opened that box like a delicate flower! 🥰 gorgeous (both u and the bag)",Hermes,love,TikTok,"{ likes: 0, date: '2022-08-03 16:27:38'}"
"i love the sound 😍😍😍",Hermes,love,TikTok,"{ likes: 1, date: '2022-08-04 03:03:19'}"
"Hug like this 😘😘",Zara,like,TikTok,"{ likes: 0, date: '2022-08-04 20:18:22'}"
"love your nails!",Hermes,love,TikTok,"{ likes: 1, date: '2022-08-05 04:50:12'}"
"wow nice i love it",Hermes,love,TikTok,"{ likes: 0, date: '2022-08-05 17:22:48'}"
"black is love ❤️",Hermes,love,TikTok,"{ likes: 1, date: '2022-08-06 16:17:14'}"
"@riahna_130613 I like the 2nd one hopefully they have it at H&M",H&M,like,TikTok,"{ likes: 1, date: '2022-08-06 21:00:22'}"
"Anthracite? 😍 love this",Hermes,love,TikTok,"{ likes: 9, date: '2022-08-06 22:49:31'}"
"You look lovely.",Zara,love,TikTok,"{ likes: 0, date: '2022-08-07 05:10:32'}"
"h&m have kinda similar ;)",Cartier,H&M,TikTok,"{ likes: 105, date: '2022-08-07 20:17:35'}"
"Feeding Afghan kids would be better",Hermes,better,TikTok,"{ likes: 0, date: '2022-08-08 18:44:04'}"
"I had it didn’t like it",Cartier,like,TikTok,"{ likes: 9, date: '2022-08-09 00:28:27'}"
"waste of money",Gucci,waste,TikTok,"{ likes: 9, date: '2022-08-09 10:03:13'}"
"Funny thing is…..LV acts the WORSE when he’s losing 😂😂😂😂 he gets SOUR",Hermes,worse,TikTok,"{ likes: 3, date: '2022-08-09 12:59:41'}"
"where did you get the Dior backstage face and body glow I can’t find it?<3",Dior,Dior,TikTok,"{ likes: 663, date: '2022-08-09 13:40:35'}"
"Dior makeup never misses",Dior,Dior,TikTok,"{ likes: 7080, date: '2022-08-09 13:51:06'}"
"girl your soo gorgeous i lovee your vids<3",Dior,love,TikTok,"{ likes: 17, date: '2022-08-09 13:53:31'}"
